name,label,source_id,split
image_0000005_crop_0000001.png,0,image_0000005,train
image_0000005_crop_0000002.png,0,image_0000005,train
image_0000028_crop_0000001.png,0,image_0000028,val
image_0000034_crop_0000001.png,0,image_0000034,train
image_0000034_crop_0000002.png,1,image_0000034,train
image_0000046_crop_0000001.png,1,image_0000046,train
image_0000050_crop_0000001.png,1,image_0000050,train
image_0000052_crop_0000001.png,0,image_0000052,train
image_0000054_crop_0000001.png,0,image_0000054,test
image_0000077_crop_0000001.png,0,image_0000077,train
image_0000083_crop_0000001.png,0,image_0000083,train
image_0000085_crop_0000001.png,1,image_0000085,train
image_0000087_crop_0000001.png,0,image_0000087,val
image_0000087_crop_0000002.png,0,image_0000087,val
image_0000088_crop_0000001.png,0,image_0000088,train
image_0000088_crop_0000002.png,0,image_0000088,train
image_0000089_crop_0000001.png,0,image_0000089,test
image_0000092_crop_0000001.png,0,image_0000092,val
image_0000097_crop_0000002.png,0,image_0000097,train
image_0000110_crop_0000001.png,0,image_0000110,train
image_0000118_crop_0000001.png,1,image_0000118,train
image_0000118_crop_0000002.png,1,image_0000118,train
image_0000118_crop_0000003.png,1,image_0000118,train
image_0000118_crop_0000004.png,1,image_0000118,train
image_0000121_crop_0000001.png,0,image_0000121,train
image_0000125_crop_0000001.png,0,image_0000125,train
image_0000126_crop_0000001.png,0,image_0000126,test
image_0000127_crop_0000001.png,0,image_0000127,train
image_0000127_crop_0000002.png,0,image_0000127,train
image_0000131_crop_0000001.png,0,image_0000131,test
image_0000136_crop_0000001.png,1,image_0000136,train
image_0000144_crop_0000001.png,0,image_0000144,train
image_0000150_crop_0000001.png,1,image_0000150,train
image_0000150_crop_0000003.png,0,image_0000150,train
image_0000153_crop_0000001.png,0,image_0000153,train
image_0000159_crop_0000001.png,1,image_0000159,train
image_0000160_crop_0000001.png,0,image_0000160,train
image_0000160_crop_0000002.png,0,image_0000160,train
image_0000163_crop_0000001.png,0,image_0000163,test
image_0000164_crop_0000001.png,0,image_0000164,train
image_0000164_crop_0000002.png,0,image_0000164,train
image_0000164_crop_0000003.png,1,image_0000164,train
image_0000169_crop_0000001.png,0,image_0000169,train
image_0000172_crop_0000001.png,0,image_0000172,val
image_0000172_crop_0000002.png,0,image_0000172,val
image_0000173_crop_0000001.png,0,image_0000173,train
image_0000177_crop_0000001.png,0,image_0000177,test
image_0000180_crop_0000001.png,0,image_0000180,train
image_0000181_crop_0000001.png,0,image_0000181,train
image_0000181_crop_0000002.png,1,image_0000181,train
image_0000188_crop_0000001.png,0,image_0000188,train
image_0000189_crop_0000001.png,0,image_0000189,test
image_0000192_crop_0000001.png,0,image_0000192,train
image_0000192_crop_0000002.png,0,image_0000192,train
image_0000192_crop_0000003.png,0,image_0000192,train
image_0000192_crop_0000004.png,1,image_0000192,train
image_0000192_crop_0000005.png,1,image_0000192,train
image_0000192_crop_0000006.png,1,image_0000192,train
image_0000192_crop_0000007.png,1,image_0000192,train
image_0000194_crop_0000001.png,0,image_0000194,test
image_0000194_crop_0000002.png,0,image_0000194,test
image_0000194_crop_0000005.png,0,image_0000194,test
image_0000194_crop_0000008.png,0,image_0000194,test
image_0000198_crop_0000001.png,1,image_0000198,train
image_0000198_crop_0000002.png,1,image_0000198,train
image_0000198_crop_0000003.png,1,image_0000198,train
image_0000199_crop_0000003.png,0,image_0000199,val
image_0000201_crop_0000001.png,0,image_0000201,test
image_0000201_crop_0000003.png,0,image_0000201,test
image_0000207_crop_0000001.png,0,image_0000207,train
image_0000207_crop_0000002.png,0,image_0000207,train
image_0000210_crop_0000001.png,1,image_0000210,train
image_0000210_crop_0000002.png,1,image_0000210,train
image_0000211_crop_0000001.png,1,image_0000211,train
image_0000211_crop_0000002.png,1,image_0000211,train
image_0000211_crop_0000003.png,1,image_0000211,train
image_0000211_crop_0000004.png,1,image_0000211,train
image_0000211_crop_0000005.png,1,image_0000211,train
image_0000211_crop_0000006.png,1,image_0000211,train
image_0000211_crop_0000007.png,1,image_0000211,train
image_0000211_crop_0000008.png,1,image_0000211,train
image_0000211_crop_0000009.png,1,image_0000211,train
image_0000211_crop_0000010.png,1,image_0000211,train
