epoch,train_loss,val_loss,val_macro_f1_at_0.5
1,0.26779224728582524,0.3665326527088364,0.8940816326530612
2,0.2216757072779987,0.20836018189529462,0.9188672438672438
3,0.20081364259361972,0.22983732750650085,0.9235561839954045
4,0.18982827765593133,0.19296140551050275,0.9221190812752662
5,0.18027017729989847,0.20479663095377773,0.9285861713106295
6,0.18165396061075045,0.20443895605602705,0.9320187189654556
7,0.16606481438547974,0.18770085361307068,0.9294672374520283
8,0.16335260041725974,0.16502438270287706,0.9453396524486573
9,0.15115776627682856,0.17608407626434558,0.9320187189654556
10,0.14332784533428186,0.15870708571693112,0.9508609976921711
11,0.14055751189537724,0.1497436426795287,0.942225386028281
12,0.1268454249710956,0.13731022390154746,0.951005380911923
13,0.1236787603782757,0.23126146386813567,0.9315787581346853
14,0.11509002256039974,0.1426947349413282,0.9480182051168751
15,0.11686603261991897,0.1497343553370134,0.9392662804985079
16,0.1072325569728313,0.15723299967243493,0.9413805095098398
