stage,epoch,train_loss,val_loss,val_macro_f1_at_0.5
linear_probe,1,0.1886385530992766,0.16343673676080098,0.9262914965382567
linear_probe,2,0.12531149979333014,0.13289803107177592,0.9426727708742098
linear_probe,3,0.11501231299441861,0.12652224694201022,0.9487072160453456
linear_probe,4,0.10923108945559483,0.12971981300439447,0.951005380911923
linear_probe,5,0.10712787085090877,0.12128132034760679,0.9484446625938943
linear_probe,6,0.10320692983854417,0.11959575598984096,0.9515406162464985
linear_probe,7,0.10085026819396135,0.11935267735251112,0.9515406162464985
fine_tune,1,0.12727713143422367,0.05315488616725957,0.9789308859988691
fine_tune,2,0.03266867426544849,0.052140165583332836,0.969633140249254
fine_tune,3,0.018332301224245354,0.0643278354122115,0.9848366654687924
fine_tune,4,0.013609013430651675,0.05233847345575432,0.9788794419010246
fine_tune,5,0.01135954052343717,0.05874247332184301,0.975891861761427
fine_tune,6,0.008415982427625842,0.17733604525555077,0.9553490773002968
fine_tune,7,0.011017981332459051,0.055701548631997465,0.9788262652224466
fine_tune,8,0.006516750692325185,0.026084853562316452,0.9909255422381914
fine_tune,9,0.0025234516845456328,0.03182557583759631,0.9849138870721604
fine_tune,10,0.0004486075451724504,0.022714801267263173,0.9909483322432964
fine_tune,11,0.0012426501433815155,0.033853314084813776,0.9848366654687924
fine_tune,12,0.001705476772131053,0.03184051010650017,0.981827731092437
fine_tune,13,0.0010137941126595925,0.04063717934782105,0.981827731092437
